;hateful_1;hateful_2;hateful_3;hateful_4;hateful_5;neutral_1;neutral_2;neutral_3;neutral_4;neutral_5;neutral_6;offensive_1;offensive_2;offensive_3;offensive_4;offensive_5;offensive_6
hateful_1;1.0;0.9955781883;0.9975103743;0.9963065258;0.9922503279;0.6271483382;0.6237417205;0.5936701476;0.6296297364;0.6100629430000001;0.6461560718;0.6328547599000001;0.6464194907;0.6261345811;0.6306705666;0.6108179093;0.5298349665000001
hateful_2;0.9955781883;1.0;0.9993458441;0.9970352650000001;0.9971360849;0.5825308217;0.5806306348;0.5502959245;0.5840439786;0.5650257973;0.605818219;0.5800606951;0.5906777023;0.5710720149;0.5771327502;0.5546571336;0.4841318517
hateful_3;0.9975103743;0.9993458441;1.0;0.9968689518;0.9975528706000001;0.6057249279;0.6033606103;0.5728269519;0.6072410283;0.5880468698;0.6285354032;0.5994350142;0.6110701238;0.5911301899;0.5967983181000001;0.5745549795;0.5023535055
hateful_4;0.9963065258;0.9970352650000001;0.9968689518;1.0;0.9924486955;0.5905985920000001;0.5887333241;0.5572961459;0.592465408;0.5760929241;0.6117624292;0.6252783497000001;0.6337557168;0.6159091306000001;0.62197016;0.6018531693;0.529874586
hateful_5;0.9922503279;0.9971360849;0.9975528706000001;0.9924486955;1.0;0.6050969152;0.6043878669;0.5702642653000001;0.6059204604;0.5866697602000001;0.6315724595000001;0.5745522519;0.586300255;0.5671245569;0.5728341291;0.5498740374000001;0.4782848636
neutral_1;0.6271483382;0.5825308217;0.6057249279;0.5905985920000001;0.6050969152;1.0;0.9989345717;0.9946243736;0.9998197704;0.9983457305000001;0.99656929;0.598494775;0.6348700064;0.6103500412;0.6117699008;0.6044039786000001;0.5057930908
neutral_2;0.6237417205;0.5806306348;0.6033606103;0.5887333241;0.6043878669;0.9989345717;1.0;0.9956807529;0.9983222107;0.9976191069;0.9973925880000001;0.5924688644;0.6282601872;0.6043616828;0.6072726075;0.5991350281;0.5053403496000001
neutral_3;0.5936701476;0.5502959245;0.5728269519;0.5572961459;0.5702642653000001;0.9946243736;0.9956807529;1.0;0.9940407901;0.9941109759000001;0.9898047378;0.5653057702000001;0.602170353;0.576520425;0.5809841911;0.5720079344;0.48478697800000004
neutral_4;0.6296297364;0.5840439786;0.6072410283;0.592465408;0.6059204604;0.9998197704;0.9983222107;0.9940407901;1.0;0.9982204264000001;0.9951912180000001;0.6016228541;0.6386218661;0.6140061328;0.6147940405;0.6080042592;0.5067527716
neutral_5;0.6100629430000001;0.5650257973;0.5880468698;0.5760929241;0.5866697602000001;0.9983457305000001;0.9976191069;0.9941109759000001;0.9982204264000001;1.0;0.9925983793;0.6037480661;0.6387212320000001;0.6156973452;0.6167520579;0.6108494440000001;0.5142940644
neutral_6;0.6461560718;0.605818219;0.6285354032;0.6117624292;0.6315724595000001;0.99656929;0.9973925880000001;0.9898047378;0.9951912180000001;0.9925983793;1.0;0.5955991377000001;0.6297801067000001;0.6054353316000001;0.6093727436;0.5992573370000001;0.5072513694
offensive_1;0.6328547599000001;0.5800606951;0.5994350142;0.6252783497000001;0.5745522519;0.598494775;0.5924688644;0.5653057702000001;0.6016228541;0.6037480661;0.5955991377000001;1.0;0.9975695588000001;0.9985337350000001;0.999017107;0.9981568542;0.9753551917000001
offensive_2;0.6464194907;0.5906777023;0.6110701238;0.6337557168;0.586300255;0.6348700064;0.6282601872;0.602170353;0.6386218661;0.6387212320000001;0.6297801067000001;0.9975695588000001;1.0;0.9989012169;0.9979384336;0.9972963642;0.9650061236
offensive_3;0.6261345811;0.5710720149;0.5911301899;0.6159091306000001;0.5671245569;0.6103500412;0.6043616828;0.576520425;0.6140061328;0.6156973452;0.6054353316000001;0.9985337350000001;0.9989012169;1.0;0.998658393;0.9988651776;0.9714142821
offensive_4;0.6306705666;0.5771327502;0.5967983181000001;0.62197016;0.5728341291;0.6117699008;0.6072726075;0.5809841911;0.6147940405;0.6167520579;0.6093727436;0.999017107;0.9979384336;0.998658393;1.0;0.9986749284;0.9771456907
offensive_5;0.6108179093;0.5546571336;0.5745549795;0.6018531693;0.5498740374000001;0.6044039786000001;0.5991350281;0.5720079344;0.6080042592;0.6108494440000001;0.5992573370000001;0.9981568542;0.9972963642;0.9988651776;0.9986749284;1.0;0.9720299095
offensive_6;0.5298349665000001;0.4841318517;0.5023535055;0.529874586;0.4782848636;0.5057930908;0.5053403496000001;0.48478697800000004;0.5067527716;0.5142940644;0.5072513694;0.9753551917000001;0.9650061236;0.9714142821;0.9771456907;0.9720299095;1.0
